	freq	ngram	freq_ref	ngram_ref	ref size	math size	e1	e2	g2
137	17	переход_s от_pr базис_s	10	некоторые_s из_pr он	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
135	17	умножение_s на_pr число_s	10	у_pr разный_a вид_s	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
142	17	нелинейный_a зависимость_s в_pr	10	образование_s новый_a вид_s	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
132	17	расстояние_s от_pr точка_s	10	в_pr ответ_s на_pr	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
134	17	по_pr теорема_s о_pr	10	популяционный_a видовой_a уровень_s	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
133	17	от_pr точка_s до_pr	10	во_pr взрослый_a состояние_s	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
136	17	проекция_s вектор_s на_pr	10	биосфера_s в_pr целое_s	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
131	17	наибольший_a наименьший_a значение_s	10	в ходе_pr эволюция_s	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
129	17	по крайней мере_adv	10	год_s назад_adv в_pr	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
130	17	такой_a что_conj при_pr	10	в_pr растительный_a клетка_s	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
123	18	от_pr выбор_s базис_s	11	скорость_s химический_a реакция_s	2332884	1500982	11.353677462905589	17.64632253709441	6.191975243844803
120	18	при_pr условие_s что_conj	11	молярный_a энтальпия_s сгорание_s	2332884	1500982	11.353677462905589	17.64632253709441	6.191975243844803
121	18	иметь_v единственный_a решение_s	11	изменение_s свободный_a энергия_s	2332884	1500982	11.353677462905589	17.64632253709441	6.191975243844803
122	18	однородный_a система_s линейный_a	11	прямой_a обратный_a реакция_s	2332884	1500982	11.353677462905589	17.64632253709441	6.191975243844803
119	18	число_s мочь_v быть_v	11	в_pr раствор_s в_pr	2332884	1500982	11.353677462905589	17.64632253709441	6.191975243844803
124	18	функция_s один_a переменная_s	11	тангенс_s угол_s наклон_s	2332884	1500982	11.353677462905589	17.64632253709441	6.191975243844803
125	18	функция_s интегрировать_partcp на_pr	11	в_pr электрохимический_a ряд_s	2332884	1500982	11.353677462905589	17.64632253709441	6.191975243844803
126	18	в_pr ортонормированный_a система_s	11	в думать_v почему_adv	2332884	1500982	11.353677462905589	17.64632253709441	6.191975243844803
192	15	прикладной_a задача_s линейный_a	9	по_pr ваш_a мнение_s	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
180	15	векторный_a произведение_s вектор_s	9	дело_s в_pr что_conj	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
171	15	также_adv доказать_v что_conj	9	составлять_v в_pr среднее_s	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
