	bigram	freq	llr	pmi	t-score	xi square	z-score
257	в_pr задача_s	35	136.13888024538755	0.7407370317627662	-1.785055823526314	1.559259942295034e+33	-1.564557136567184
968	теорема_s иметь_v	15	68.39348091930151	1.263844332631366	0.3646941209633135	1.5492214531821883e+33	0.3831809257145456
761	по крайней	17	1000.0	12.48435970783042	4.121540451974153	1.4974404695562796e+33	211.53904238550444
681	вектор_s оператор_s	19	111.2138783633709	2.2098282899802344	2.309356039631522	1.4760406779729766e+33	3.36783485776113
967	функция_s функция_s	15	50.88315902650356	0.38000120505118273	-2.6008077727739543	1.4697713338651354e+33	-2.0116467871011774
630	тогда_adv м	20	152.1683049350977	3.4688108464570733	3.5935106686829683	1.449723956448965e+33	8.107269100092727
472	точка_s являться_v	24	144.11760319024324	2.3106076282766326	2.7509104706559153	1.4371135672097827e+33	4.154369790029761
908	коля_s васин_s	15	1000.0	12.958290896162834	3.87192478447166	1.428724271507291e+33	234.20255641885146
169	функция_s определить_partcp	46	497.8249765485525	5.491335195416176	6.45436526931913	1.423215846915209e+33	29.351441672265594
764	по_pr один_a	17	93.78895722329617	1.9673897812640264	1.8296732582136441	1.3944407753514775e+33	2.4532556191615327
907	точка_s из_pr	15	45.94829012453556	0.1237627856192815	-3.8590573784836835	1.3817165041823894e+33	-2.731221888537726
790	если_conj вектор_s	17	64.52475056797266	0.6877713053261101	-1.4447694385639136	1.352153477706733e+33	-1.2432716648773194
842	можно_adv получить_v	16	121.14704592525959	3.451618292887632	3.2047124831073384	1.3413450984145422e+33	7.187154566605185
593	определение_s предел_s	21	168.40226569771767	3.7564392532672213	3.8449881588316326	1.338668285207372e+33	9.583917038992187
455	некоторый_a окрестность_s	25	303.2894812300801	6.5620096041396385	4.884889988915377	1.3299461377061824e+33	32.19461543838561
531	на_pr доказать_v	22	95.76582381874323	1.1024009381499185	-0.061408876634975726	1.312401227487843e+33	-0.06101078607884222
750	корень_s квадратный_a	17	162.3106151148677	4.847308695960811	3.8115440015219106	1.3085900049664815e+33	13.865680494475207
249	с_pr неизвестный_a	36	360.20225723832846	5.046066856251274	5.604962266729428	1.303351568337285e+33	21.843842078071493
632	матрица_s порядок_s	20	128.92671996355057	2.6359808882995055	2.9071498118027166	1.302846048573005e+33	4.914390504085233
388	число_s от_pr	27	137.06496691703796	1.6290943812672893	1.542052478855802	1.2875400995071959e+33	1.8388651578401034
277	при_pr переход_s	34	329.6149450019002	4.8509370454870355	5.3914439654311614	1.2770397403420733e+33	19.637738278699242
653	задача_s о_pr	19	141.6841942667961	3.362122940733796	3.436791006366597	1.2629465077797387e+33	7.472237088609497
852	равный_a произведение_s	16	110.97734159231186	2.9959772583534483	2.9093490441410936	1.2475828573030667e+33	5.5716385116983345
669	с_pr координата_s	19	113.74304588884115	2.3053096829226933	2.4406089971117444	1.2385616594075084e+33	3.6789974161530936
704	равенство_s б_part	18	149.39082059264183	3.9633438797683893	3.6510032110505004	1.2315093250212216e+33	9.776929945233256
934	диаграмма_s юнга_s	15	1000.0	12.735898474826385	3.871748357515701	1.2246134614760408e+33	216.81955416614275
724	м получать_v	18	185.72635877877474	5.379324237132132	4.020921583128787	1.214516704245246e+33	17.58904144893024
820	число_s число_s	16	24.73073221743107	-1.141919993950489	-15.200696205414763	1.2119840896013473e+33	-6.938011047150285
873	вектор_s равный_a	16	83.63930248469114	1.7561202964051188	1.4241538484899103	1.1883938092127898e+33	1.7747081485402898
293	в_pr он	32	124.6775446459651	0.746082688647548	-1.679605424498282	1.1878606446756967e+33	-1.4748623724845962
474	из_pr первый_a	24	157.40626584738493	2.705945769682485	3.2657786568306855	1.1727192066480361e+33	5.656134927488307
692	метод_s математический_a	18	209.63885448873043	6.293437625093069	4.124981033468153	1.170307808521434e+33	24.770016704834234
886	частный_a производная_s	16	190.6543609648943	6.492214434766581	3.9033474042243044	1.156448267624088e+33	25.110793721266045
829	быть_v равный_a	16	82.17568863928318	1.6887502128125147	1.3010158373445497	1.1309871702494206e+33	1.5838440260543034
836	число_s уравнение_s	16	28.36784715950489	-0.9390668001410571	-12.68215223894195	1.128219716892035e+33	-6.210076037527583
202	ряд_s фурье_s	41	551.7140428572893	7.074190712763818	6.2997640845914376	1.1276246003535058e+33	49.58424204720886
932	точка_s быть_v	15	52.99976400285959	0.488569948784363	-2.1315081493227654	1.1197568017266656e+33	-1.7118736028584667
