	freq	ngram	freq_ref	ngram_ref	ref size	math size	e1	e2	g2
129	51	элемент_s в_pr	45	использоваться_v в_pr	2332884	1500982	37.58458746341161	58.41541253658839	7.651065504834531
130	51	приходить_v к_pr	45	в_pr среднее_s	2332884	1500982	37.58458746341161	58.41541253658839	7.651065504834531
131	51	векторный_a произведение_s	45	в частности_adv	2332884	1500982	37.58458746341161	58.41541253658839	7.651065504834531
132	51	канонический_a уравнение_s	45	участвовать_v в_pr	2332884	1500982	37.58458746341161	58.41541253658839	7.651065504834531
141	50	аффинный_a преобразование_s	44	красный_a книга_s	2332884	1500982	36.80157522459053	57.19842477540947	7.562603798009796
126	51	однородный_a система_s	46	друг_s от_pr	2332884	1500982	37.976093582822145	59.023906417177855	7.140909680980577
127	51	точка_s на_pr	46	экологический_a ниша_s	2332884	1500982	37.976093582822145	59.023906417177855	7.140909680980577
128	51	теорема_s о_pr	46	электрон_s в_pr	2332884	1500982	37.976093582822145	59.023906417177855	7.140909680980577
137	50	правый_a часть_s	45	атом_s водород_s	2332884	1500982	37.193081344001065	57.806918655998935	7.049886601499356
139	50	частный_a производный_a	45	гальванический_a элемент_s	2332884	1500982	37.193081344001065	57.806918655998935	7.049886601499356
138	50	элемент_s линейный_a	45	водородный_a связь_s	2332884	1500982	37.193081344001065	57.806918655998935	7.049886601499356
140	50	функция_s непрерывный_a	45	плазматический_a мембрана_s	2332884	1500982	37.193081344001065	57.806918655998935	7.049886601499356
136	50	задача_s пусть_part	45	б_part а_s	2332884	1500982	37.193081344001065	57.806918655998935	7.049886601499356
135	50	из_pr задача_s	45	с_pr друг_s	2332884	1500982	37.193081344001065	57.806918655998935	7.049886601499356
133	50	элемент_s множество_s	45	в_pr что_conj	2332884	1500982	37.193081344001065	57.806918655998935	7.049886601499356
134	50	в_pr любой_a	45	атом_s углерод_s	2332884	1500982	37.193081344001065	57.806918655998935	7.049886601499356
142	49	на_pr множество_s	44	для_pr получение_s	2332884	1500982	36.41006910517999	56.58993089482001	6.959097544301358
143	49	известно_adv что_conj	44	на_pr поверхность_s	2332884	1500982	36.41006910517999	56.58993089482001	6.959097544301358
144	49	в_pr один_a	44	влиять_v на_pr	2332884	1500982	36.41006910517999	56.58993089482001	6.959097544301358
145	49	число_s такой_a	44	относиться_v к_pr	2332884	1500982	36.41006910517999	56.58993089482001	6.959097544301358
146	49	предположить_v что_conj	44	от_pr друг_s	2332884	1500982	36.41006910517999	56.58993089482001	6.959097544301358
147	49	существовать_v такой_a	44	основать_partcp на_pr	2332884	1500982	36.41006910517999	56.58993089482001	6.959097544301358
148	49	π_π π_π	44	атомный_a масса_s	2332884	1500982	36.41006910517999	56.58993089482001	6.959097544301358
149	49	другой_a сторона_s	44	рис_s в_pr	2332884	1500982	36.41006910517999	56.58993089482001	6.959097544301358
150	49	линейный_a зависимость_s	44	живой_a существо_s	2332884	1500982	36.41006910517999	56.58993089482001	6.959097544301358
153	48	угол_s между_pr	43	для_pr человек_s	2332884	1500982	35.62705686635892	55.37294313364108	6.868557969595603
152	48	определение_s пусть_part	43	соответствии с_pr	2332884	1500982	35.62705686635892	55.37294313364108	6.868557969595603
151	48	найтись_v такой_a	43	в соответствии	2332884	1500982	35.62705686635892	55.37294313364108	6.868557969595603
161	47	сходимость_s ряд_s	42	в_pr красный_a	2332884	1500982	34.84404462753784	54.15595537246216	6.778284730785817
162	47	зависимость_s в_pr	42	который_a быть_v	2332884	1500982	34.84404462753784	54.15595537246216	6.778284730785817
167	46	функция_s иметь_v	41	живой_a природа_s	2332884	1500982	34.06103238871677	52.93896761128323	6.688296235110521
168	46	функция_s определить_partcp	41	в_pr табл_s	2332884	1500982	34.06103238871677	52.93896761128323	6.688296235110521
178	45	теорема_s если_conj	40	в_pr первый_a	2332884	1500982	33.278020149895696	51.721979850104304	6.598612627047839
177	45	уравнение_s плоскость_s	40	следовать_v что_conj	2332884	1500982	33.278020149895696	51.721979850104304	6.598612627047839
176	45	можно_adv записать_v	40	в_pr их_a	2332884	1500982	33.278020149895696	51.721979850104304	6.598612627047839
175	45	проходить_partcp через_pr	40	во время_pr	2332884	1500982	33.278020149895696	51.721979850104304	6.598612627047839
174	45	функция_s на_pr	40	из_pr один_a	2332884	1500982	33.278020149895696	51.721979850104304	6.598612627047839
173	45	вектор_s называться_v	40	северный_a америка_s	2332884	1500982	33.278020149895696	51.721979850104304	6.598612627047839
171	45	число_s на_pr	40	тыс год_s	2332884	1500982	33.278020149895696	51.721979850104304	6.598612627047839
170	45	от_pr до_pr	40	в_pr последний_a	2332884	1500982	33.278020149895696	51.721979850104304	6.598612627047839
169	45	состоять_v из_pr	40	год_s в_pr	2332884	1500982	33.278020149895696	51.721979850104304	6.598612627047839
172	45	функция_s называться_v	40	в_pr экосистема_s	2332884	1500982	33.278020149895696	51.721979850104304	6.598612627047839
180	44	хотя бы_adv	39	мочь_v иметь_v	2332884	1500982	32.495007911074616	50.504992088925384	6.509255998341949
185	44	пример_s решить_v	39	элемент_s группа_s	2332884	1500982	32.495007911074616	50.504992088925384	6.509255998341949
183	44	γ_γ γ_γ	39	реакционный_a смесь_s	2332884	1500982	32.495007911074616	50.504992088925384	6.509255998341949
182	44	вещественный_a число_s	39	как_adv в	2332884	1500982	32.495007911074616	50.504992088925384	6.509255998341949
181	44	формула_s для_pr	39	происходить_v в_pr	2332884	1500982	32.495007911074616	50.504992088925384	6.509255998341949
186	44	базис_s к_pr	39	молекулярный_a орбиталь_s	2332884	1500982	32.495007911074616	50.504992088925384	6.509255998341949
179	44	алгоритм_s евклид_s	39	внешний_a среда_s	2332884	1500982	32.495007911074616	50.504992088925384	6.509255998341949
184	44	линейно_adv зависимый_a	39	источник_s энергия_s	2332884	1500982	32.495007911074616	50.504992088925384	6.509255998341949
188	43	на_pr один_a	38	популяция_s вид_s	2332884	1500982	31.711995672253543	49.28800432774646	6.420250629274253
189	43	в_pr координатный_a	38	индивидуальный_a развитие_s	2332884	1500982	31.711995672253543	49.28800432774646	6.420250629274253
158	47	из_pr определение_s	43	привести_v к_pr	2332884	1500982	35.235550746948384	54.764449253051616	6.282316743812213
156	47	решить_v уравнение_s	43	в_pr зависимость_s	2332884	1500982	35.235550746948384	54.764449253051616	6.282316743812213
155	47	система_s счисление_s	43	с_pr один_a	2332884	1500982	35.235550746948384	54.764449253051616	6.282316743812213
159	47	в_pr ортонормированный_a	43	в_pr химический_a	2332884	1500982	35.235550746948384	54.764449253051616	6.282316743812213
160	47	бесконечно_adv малый_a	43	свободный_a энергия_s	2332884	1500982	35.235550746948384	54.764449253051616	6.282316743812213
154	47	в_pr соответствие_s	43	животное_s растение_s	2332884	1500982	35.235550746948384	54.764449253051616	6.282316743812213
157	47	операция_s с_pr	43	вместе_adv с_pr	2332884	1500982	35.235550746948384	54.764449253051616	6.282316743812213
166	46	зависеть_v от_pr	42	σ_σ связь_s	2332884	1500982	34.452538508127304	53.547461491872696	6.189904845203252
165	46	вид_s где_adv	42	относительный_a атомный_a	2332884	1500982	34.452538508127304	53.547461491872696	6.189904845203252
163	46	вектор_s на_pr	42	такой_a же_part	2332884	1500982	34.452538508127304	53.547461491872696	6.189904845203252
164	46	из_pr который_a	42	по мере_pr	2332884	1500982	34.452538508127304	53.547461491872696	6.189904845203252
187	43	математический_a анализ_s	39	растворить_partcp вещество_s	2332884	1500982	32.10350179166408	49.89649820833592	5.913854240088725
193	42	непрерывный_a в_pr	38	жирный_a кислота_s	2332884	1500982	31.320489552843004	48.67951044715699	5.8222818585544935
194	42	ортонормированный_a система_s	38	в_pr состояние_s	2332884	1500982	31.320489552843004	48.67951044715699	5.8222818585544935
191	42	если_conj существовать_v	38	половой_a клетка_s	2332884	1500982	31.320489552843004	48.67951044715699	5.8222818585544935
192	42	определенный_a интеграл_s	38	повышение_s температура_s	2332884	1500982	31.320489552843004	48.67951044715699	5.8222818585544935
190	42	действительный_a число_s	38	многий_a другой_a	2332884	1500982	31.320489552843004	48.67951044715699	5.8222818585544935
201	41	двойной_a интеграл_s	37	тыс вид_s	2332884	1500982	30.53747731402193	47.46252268597807	5.730960260916667
202	41	функционал_s в_pr	37	особь_s в_pr	2332884	1500982	30.53747731402193	47.46252268597807	5.730960260916667
212	40	го_s порядок_s	36	мировой_a океан_s	2332884	1500982	29.754465075200855	46.245534924799145	5.639909281199479
211	40	преобразование_s плоскость_s	36	значение_s для_pr	2332884	1500982	29.754465075200855	46.245534924799145	5.639909281199479
213	40	ранг_s матрица_s	36	переходить_v в_pr	2332884	1500982	29.754465075200855	46.245534924799145	5.639909281199479
224	39	интеграл_s от_pr	35	под_pr действие_s	2332884	1500982	28.97145283637978	45.02854716362022	5.549150902621083
225	39	билинейный_a функционал_s	35	за_pr счет_s	2332884	1500982	28.97145283637978	45.02854716362022	5.549150902621083
222	39	поверхность_s второй_a	35	в_pr россия_s	2332884	1500982	28.97145283637978	45.02854716362022	5.549150902621083
221	39	прямой_a плоскость_s	35	углекислый_a газ_s	2332884	1500982	28.97145283637978	45.02854716362022	5.549150902621083
220	39	матрица_s линейный_a	35	в_pr атмосфера_s	2332884	1500982	28.97145283637978	45.02854716362022	5.549150902621083
219	39	уравнение_s называться_v	35	во_pr весь_a	2332884	1500982	28.97145283637978	45.02854716362022	5.549150902621083
218	39	если_conj функция_s	35	в_pr раз_s	2332884	1500982	28.97145283637978	45.02854716362022	5.549150902621083
217	39	из_pr условие_s	35	во_pr многое_s	2332884	1500982	28.97145283637978	45.02854716362022	5.549150902621083
223	39	декартовый_a система_s	35	высокий_a уровень_s	2332884	1500982	28.97145283637978	45.02854716362022	5.549150902621083
234	38	линейный_a однородный_a	34	в_pr предел_s	2332884	1500982	28.188440597558703	43.8115594024413	5.4587095569590005
238	38	т_s о_pr	34	означать_v что_conj	2332884	1500982	28.188440597558703	43.8115594024413	5.4587095569590005
237	38	интегральный_a исчисление_s	34	вода_s в_pr	2332884	1500982	28.188440597558703	43.8115594024413	5.4587095569590005
236	38	тогда_adv в_pr	34	на_pr один_a	2332884	1500982	28.188440597558703	43.8115594024413	5.4587095569590005
235	38	вектор_s линейный_a	34	у_pr растение_s	2332884	1500982	28.188440597558703	43.8115594024413	5.4587095569590005
233	38	часть_s уравнение_s	34	цветковый_a растение_s	2332884	1500982	28.188440597558703	43.8115594024413	5.4587095569590005
239	38	унитарный_a пространство_s	34	атом_s в_pr	2332884	1500982	28.188440597558703	43.8115594024413	5.4587095569590005
232	38	если_conj если_conj	34	биологический_a организация_s	2332884	1500982	28.188440597558703	43.8115594024413	5.4587095569590005
240	37	множество_s называться_v	33	уровень_s организация_s	2332884	1500982	27.40542835873763	42.59457164126237	5.368612475416558
241	37	многочлен_s степень_s	33	в течение_pr	2332884	1500982	27.40542835873763	42.59457164126237	5.368612475416558
242	37	система_s решение_s	33	химический_a вещество_s	2332884	1500982	27.40542835873763	42.59457164126237	5.368612475416558
243	37	ряд_s расходиться_v	33	популяция_s в_pr	2332884	1500982	27.40542835873763	42.59457164126237	5.368612475416558
244	37	место_s равенство_s	33	нервный_a система_s	2332884	1500982	27.40542835873763	42.59457164126237	5.368612475416558
247	36	следующий_a образ_s	32	около_pr тыс	2332884	1500982	26.622416119916554	41.37758388008345	5.278890101638272
248	36	теорема_s пусть_part	32	круговорот_s вещество_s	2332884	1500982	26.622416119916554	41.37758388008345	5.278890101638272
249	36	с_pr неизвестный_a	32	должный_a быть_v	2332884	1500982	26.622416119916554	41.37758388008345	5.278890101638272
250	36	λ_λ λ_λ	32	книга_s россия_s	2332884	1500982	26.622416119916554	41.37758388008345	5.278890101638272
252	36	теорема_s для_pr	32	в настоящее	2332884	1500982	26.622416119916554	41.37758388008345	5.278890101638272
253	36	отметить_v что_conj	32	настоящее время_adv	2332884	1500982	26.622416119916554	41.37758388008345	5.278890101638272
255	36	вопрос_s что_s	32	изменение_s энтропия_s	2332884	1500982	26.622416119916554	41.37758388008345	5.278890101638272
251	36	тогда_adv по_pr	32	если_conj в_pr	2332884	1500982	26.622416119916554	41.37758388008345	5.278890101638272
254	36	дифференциальный_a исчисление_s	32	сложный_a вещество_s	2332884	1500982	26.622416119916554	41.37758388008345	5.278890101638272
197	41	точка_s называться_v	38	ион_s в_pr	2332884	1500982	30.928983433432467	48.07101656656753	5.2469359845460914
200	41	ряд_s фурье_s	38	электролитический_a диссоциация_s	2332884	1500982	30.928983433432467	48.07101656656753	5.2469359845460914
196	41	для_pr функция_s	38	с_pr образование_s	2332884	1500982	30.928983433432467	48.07101656656753	5.2469359845460914
195	41	точка_s если_conj	38	энергетический_a уровень_s	2332884	1500982	30.928983433432467	48.07101656656753	5.2469359845460914
198	41	данный_a уравнение_s	38	атом_s элемент_s	2332884	1500982	30.928983433432467	48.07101656656753	5.2469359845460914
199	41	смешанный_a произведение_s	38	реакция_s между_pr	2332884	1500982	30.928983433432467	48.07101656656753	5.2469359845460914
265	35	если_conj ряд_s	31	диоксид_s углерод_s	2332884	1500982	25.83940388109548	40.16059611890452	5.189576580116068
264	35	интегральный_a сумма_s	31	реакция_s протекать_v	2332884	1500982	25.83940388109548	40.16059611890452	5.189576580116068
263	35	о_s а_s	31	солнечный_a энергия_s	2332884	1500982	25.83940388109548	40.16059611890452	5.189576580116068
