	freq	pmi	quadgram	t-score	z-score
636	4	24.768567622596215	условие_s исследование_s критический_a точка_s	3.0633968593968015e-05	3.0633968593968015e-05
692	4	24.76742800561695	точка_s возможный_a условный_a экстремум_s	3.063396859284954e-05	3.063396859284954e-05
136	8	24.75787738221615	криволинейный_a интеграл_s второй_a род_s	6.126793716688252e-05	6.126793716688252e-05
947	3	24.740082641113997	геометрия_s геометрия_s помогать_v алгебра_s	2.2975476424308553e-05	2.2975476424308553e-05
946	3	24.740082641113997	алгебра_s геометрия_s геометрия_s помогать_v	2.2975476424308553e-05	2.2975476424308553e-05
751	4	24.711192957092603	отвечать_partcp различный_a собственный_a значение_s	3.063396853654558e-05	3.063396853654558e-05
184	7	24.707696991417603	общность_s можно_adv считать_v что_conj	5.36094449327016e-05	5.36094449327016e-05
796	3	24.66050595372216	предположение_s что_conj утверждение_s верно_adv	2.2975476362910926e-05	2.2975476362910926e-05
57	13	24.64279981645069	о_intj а_s а_s т_s	9.956039751139281e-05	9.956039751139281e-05
43	14	24.635368868602278	в качестве_pr пример_s решить_v	0.00010721888959974198	0.00010721888959974198
981	3	24.62729675197034	приведение_s к_pr общий_a знаменатель_s	2.2975476336269673e-05	2.2975476336269673e-05
992	3	24.613047403263906	быть_v переписать_partcp в виде_pr	2.2975476324649123e-05	2.2975476324649123e-05
349	5	24.612786228543513	другой_a метод_s интегральный_a исчисление_s	3.82924605407251e-05	3.82924605407251e-05
622	4	24.606458590285047	из_pr нризнак_s сравнение_s согласно_pr	3.063396842564923e-05	3.063396842564923e-05
216	6	24.586689967964148	проходить_partcp через_pr начало_s координата_s	4.5950952605698796e-05	4.5950952605698796e-05
460	4	24.57951197208042	что_conj найтись_v фигура_s площадь_s	3.063396839579106e-05	3.063396839579106e-05
672	4	24.571345601189492	о_pr х_s о_pr о_s	3.063396838663165e-05	3.063396838663165e-05
641	4	24.57069001101461	в виде_pr бесконечный_a десятичный_a	3.0633968385894087e-05	3.0633968385894087e-05
957	3	24.55509543368769	изобразить_v на_pr фазовый_a плоскость_s	2.297547627618787e-05	2.297547627618787e-05
705	4	24.55480545951605	прийти_v к_pr заключение_s что_conj	3.063396836792061e-05	3.063396836792061e-05
881	3	24.47710426141919	доказать_v что_conj хотя_part бы_part	2.2975476207819213e-05	2.2975476207819213e-05
3	59	24.453034370284477	о_pr а_s а_s т_s	0.0004518510316572479	0.0004518510316572479
238	6	24.45217400384048	в_pr чем_conj сущность_s способ_s	4.5950952370347405e-05	4.5950952370347405e-05
662	4	24.437472193090326	к_pr з_s т_s о_pr	3.0633968228846216e-05	3.0633968228846216e-05
374	5	24.407687004643506	поставить_partcp в_pr соответствие_s единственный_a	3.829246023963106e-05	3.829246023963106e-05
344	5	24.40636233484176	приведение_s к_pr один_a основание_s	3.829246023754393e-05	3.829246023754393e-05
983	3	24.363353691157645	применить_v признак_s делимость_s на_pr	2.2975476101236983e-05	2.2975476101236983e-05
755	4	24.328942175005025	квадратичный_a функционал_s зависеть_partcp от_pr	3.063396808973747e-05	3.063396808973747e-05
804	3	24.323108064097802	быть_v единственный_a образ_s представить_partcp	2.29754760614693e-05	2.29754760614693e-05
550	4	24.27091410005838	проходить_v через_pr начало_s координата_s	3.0633968010953286e-05	3.0633968010953286e-05
798	3	24.25813596192331	вытекать_v о справедливость_s для_pr	2.2975475994881002e-05	2.2975475994881002e-05
56	13	24.256652686531314	в_pr чем_conj сущность_s метод_s	9.956039597107735e-05	9.956039597107735e-05
61	12	24.25382315951542	хотя бы_adv один_a из_pr	9.190190396141551e-05	9.190190396141551e-05
758	4	24.25375804426071	инвариант_s линия_s второй_a порядок_s	3.063396798704723e-05	3.063396798704723e-05
667	4	24.252326484620305	е_s е_s и_s е_s	3.0633967985039546e-05	3.0633967985039546e-05
125	8	24.230540862285572	иметь_v хотя бы_adv один_a	6.126793590847859e-05	6.126793590847859e-05
773	4	24.20797219589089	плоскость_s ортогональный_a ось_s или_part	3.063396792183769e-05	3.063396792183769e-05
903	3	24.182817814861618	счисление_s рациональный_a иррациональный_a число_s	2.2975475913841074e-05	2.2975475913841074e-05
162	7	24.128916609758793	максимальный_a число_s линейно_adv независимый_a	5.360944365744829e-05	5.360944365744829e-05
482	4	24.093970903706424	число_s попарно_adv взаимно_adv простой_a	3.063396775019125e-05	3.063396775019125e-05
611	4	24.079170947947194	лекция_s м познакомиться_v с_pr	3.063396772689635e-05	3.063396772689635e-05
991	3	24.065237900960213	мочь_v быть_v переписать_partcp в	2.2975475778559863e-05	2.2975475778559863e-05
866	3	24.062283057568376	ровно_adv целый_a положительный_a решение_s	2.297547577501613e-05	2.297547577501613e-05
457	4	24.051223424244117	так_adv чтобы_conj ни_part один_a	3.0633967682250326e-05	3.0633967682250326e-05
536	4	24.02497631389475	косинус_s угол_s между_pr он	3.0633967639525794e-05	3.0633967639525794e-05
78	11	24.009227278303385	р_s свойство_s линия_s второй_a	8.424341093716406e-05	8.424341093716406e-05
621	4	23.98836121590615	криволинейный_a интеграл_s первый_a род_s	3.063396757861092e-05	3.063396757861092e-05
753	4	23.982227008550606	матрица_s билинейный_a функционал_s зависеть_v	3.0633967568253664e-05	3.0633967568253664e-05
488	4	23.969208138214768	давать_v остаток_s при_pr деление_s	3.06339675461256e-05	3.06339675461256e-05
456	4	23.90106965957024	на_pr сколько_adv часть_s делить_v	3.063396742699675e-05	3.063396742699675e-05
